hts8,brief_description,quantity_1_code,quantity_2_code,wto_binding_code,mfn_text_rate,mfn_rate_type_code,mfn_ave,mfn_ad_val_rate,mfn_specific_rate,mfn_other_rate,col1_special_text,col1_special_mod,gsp_indicator,gsp_ctry_excluded,apta_indicator,civil_air_indicator,nafta_canada_ind,nafta_mexico_ind,mexico_rate_type_code,mexico_ad_val_rate,mexico_specific_rate,cbi_indicator,cbi_ad_val_rate,cbi_specific_rate,agoa_indicator,cbtpa_indicator,cbtpa_rate_type_code,cbtpa_ad_val_rate,cbtpa_specific_rate,israel_fta_indicator,atpa_indicator,atpa_ad_val_rate,atpa_specific_rate,atpdea_indicator,jordan_indicator,jordan_rate_type_code,jordan_ad_val_rate,jordan_specific_rate,jordan_other_rate,singapore_indicator,singapore_rate_type_code,singapore_ad_val_rate,singapore_specific_rate,singapore_other_rate,chile_indicator,chile_rate_type_code,chile_ad_val_rate,chile_specific_rate,chile_other_rate,morocco_indicator,morocco_rate_type_code,morocco_ad_val_rate,morocco_specific_rate,morocco_other_rate,australia_indicator,australia_rate_type_code,australia_ad_val_rate,australia_specific_rate,australia_other_rate,bahrain_indicator,bahrain_rate_type_code,bahrain_ad_val_rate,bahrain_specific_rate,bahrain_other_rate,dr_cafta_indicator,dr_cafta_rate_type_code,dr_cafta_ad_val_rate,dr_cafta_specific_rate,dr_cafta_other_rate,dr_cafta_plus_indicator,dr_cafta_plus_rate_type_code,dr_cafta_plus_ad_val_rate,dr_cafta_plus_specific_rate,dr_cafta_plus_other_rate,oman_indicator,oman_rate_type_code,oman_ad_val_rate,oman_specific_rate,oman_other_rate,peru_indicator,peru_rate_type_code,peru_ad_val_rate,peru_specific_rate,peru_other_rate,pharmaceutical_ind,dyes_indicator,col2_text_rate,col2_rate_type_code,col2_ad_val_rate,col2_specific_rate,col2_other_rate,begin_effect_date,end_effective_date,footnote_comment,additional_duty,korea_indicator,korea_rate_type_code,korea_ad_val_rate,korea_specific_rate,korea_other_rate,colombia_indicator,colombia_rate_type_code,colombia_ad_val_rate,colombia_specific_rate,colombia_other_rate,panama_indicator,panama_rate_type_code,panama_ad_val_rate,panama_specific_rate,panama_other_rate,nepal_indicator,japan_indicator,japan_rate_type_code,japan_ad_val_rate,japan_specific_rate,japan_other_rate,usmca_indicator,usmca_rate_type_code,usmca_ad_val_rate,usmca_specific_rate,usmca_other_rate
20059160,"Bamboo shoots in airtight containers, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, not preserved by sugar",KG,,B,Free,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,7,0.35,0,0,1/1/2007,12/31/2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20059197,"Bamboo shoots, not in airtight containers, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, not preserved by sugar",KG,,B,11.20%,7,,0.112,0,0,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059910,"Carrots in airtight containers, prepared or preserved otherwise than by vinegar, acetic acid or sugar, not frozen",KG,,B,6.40%,7,,0.064,0,0,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A*,TH,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059920,"Onions, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KG,,B,4.50%,7,,0.045,0,0,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A*,TH,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059930,"Sauerkraut, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KG,,B,4.80%,7,,0.048,0,0,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",,A+,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,50%,7,0.5,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059941,"Whole or Sliced water chestnuts, other than Chinese water chestnuts, prepared or preserved otherwise than by vinegar or acetic acid or sugar",KG,,B,Free,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,7,0.35,0,0,1/1/2007,12/31/2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20059950,"Pimientos, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KG,,B,8.10%,7,,0.081,0,0,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A+,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,38.50%,7,0.385,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059955,"Fruits of the genus Capsicum or Pimenta, not pimientos, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KG,,B,14.90%,7,,0.149,0,0,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A*,TH,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,1/1/2022,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059980,"Artichokes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KG,,B,14.90%,7,,0.149,0,0,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A+,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,1/1/2022,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059985,"Chickpeas (garbanzos), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KG,,B,0.8 cents/kg on entire contents of container,1,,0,0.008,0,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A*,TH,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,4.4 cents/kg on entire contents of container,1,0,0.044,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20059997,"Vegetables nesoi,& mixtures of vegetables,prepared or preserved otherwise than by vinegar or acetic acid, not frozen, not preserved by sugar",KG,,B,11.20%,7,,0.112,0,0,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A*,TH,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20060020,"Cherries, preserved by sugar (drained, glace or crystallized)",KG,,B,9.9 cents/kg + 6.4%,4,,0.064,0.099,0,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A+,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,20.9 cents/kg + 40%,4,0.4,0.209,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20060030,"Ginger root, preserved by sugar (drained, glace or crystallized)",KG,,B,2.40%,7,,0.024,0,0,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,20%,7,0.2,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20060040,"Pineapples, preserved by sugar (drained, glace or crystallized)",KG,,B,2.10%,7,,0.021,0,0,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",,A+,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,35%,7,0.35,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
20060050,"Mixtures of vegetables, fruit, nuts, fruit-peel or other parts of plants, preserved by sugar (drained, glace or crystallized)",KG,,B,16%,7,,0.16,0,0,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",,A+,,,,CA,MX,0,0,0,E,0,0,D,,,,,IL,,,,,JO,0,0,0,0,SG,0,0,0,0,CL,0,0,0,0,MA,0,0,0,0,AU,0,0,0,0,BH,0,0,0,0,P,0,0,0,0,,,,,,OM,0,0,0,0,PE,0,0,0,0,,,20%,7,0.2,0,0,7/1/2020,12/31/2050,,,KR,0,0,0,0,CO,0,0,0,0,PA,0,0,0,0,,,,,,,S,0,0,0,0
