HTSUS CODE,DESCRIPTION,Duty,Which List?,Information,Additional HTSUS
8402.90.00,"Parts of steam- or other vapor-generating boilers

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.12
8404.20.00,Condensers for steam or other vapor power units,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.13
8404.90.00,Parts for auxiliary plant for use with boilers of heading 8402 and 8403 and condensers for steam or vapor power units,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.14
8405.10.00,"Producer gas or water gas generators, acetylene gas generators and similar water process gas generators; with or without their purifiers",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.15
8405.90.00,Parts for gas generators of subheading 8405.10,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.16
8406.10.10,Steam turbines for marine propulsion,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.17
8406.10.90,Vapor turbines (other than steam) for marine propulsion,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.18
8406.81.90,"Vapor turbines (excluding steam turbines) other than for marine propulsion, of an output exceeding 40 MW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.19
8406.82.90,"Vapor turbines (excluding steam turbines) other than for marine propulsion, of an output not exceeding 40 MW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.20
8407.10.00,Spark-ignition reciprocating or rotary internal combustion piston engines for use in aircraft,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.21
8407.21.00,"Marine propulsion spark-ignition reciprocating or rotary internal-combustion piston engines for outboard motors

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.22
8407.29.00,"Marine propulsion spark-ignition reciprocating or rotary internal-combustion piston engines, nesoi",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.23
8408.10.00,Marine propulsion compression-ignition internal-combustion piston engines,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.24
8408.90.10,"Compression-ignition internal-combustion piston engines, to be installed in agricultural or horticultural machinery or equipment, nesoi",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.25
