HTSUS CODE,DESCRIPTION,Duty,Which List?,Information,Additional HTSUS
0307.92.00,"Conch and other molluscs nesoi, including flours, meals and pellets, fit for human consumption, frozen",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0307.99.02,"Molluscs, including flours, meals and pellets fit for human consumption, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.11.00,"Sea cucumbers, live, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.12.00,Frozen sea cucumbers,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.19.01,"Sea cucumbers, not frozen",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.21.00,"Sea urchins, live, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.22.00,Frozen sea urchins,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.29.01,"Sea urchins, not frozen",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.30.00,"Jelly fish, live, fresh, chilled, frozen, dried, salted smoked, or in brine",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0308.90.00,"Other aquatic invertebrates, oth than molluscs & crustaceans, nesoi, live, fresh or chilled, dried, salted, smoked or in brine",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.05,Whey protein concentrates,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.08,"Modified whey (except protein conc.), subject to gen. note 15 of the HTS",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.11,"Modified whey (except protein conc.), wheth/not conc. or sweetened, subject to add US note 10 to Ch.4",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.15,"Modified whey (except protein conc.), wheth/not conc. or sweetened, not subject to gen. note 15 or",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.20,"Fluid whey, whether or not concentrated or containing added sweeteners",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.48,"Whey (except modified whey), dried, whether or not conc. or sweetened, subject to gen. note 15 of the HTS",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.50,"Whey (except modified whey), dried, whether or not conc. or sweetened, subject to add. US note 12 to Ch. 4",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0404.10.90,"Whey (except modified whey), dried, whether or not conc. or sweetened, not subject to gen. note 15 or add US note 12 to Ch.4",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0405.10.05,Butter subject to general note 15 (outside quota),25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0405.10.10,Butter subject to quota pursuant to chapter 4 additional US note 6,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0405.10.20,Butter not subject to general note 15 and in excess of quota in chapter 4 additional U.S. note 6,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0407.19.00,"Birds' eggs, in shell, fertilized eggs for incubation, other than Gallus domesticus",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0407.21.00,"Birds' eggs, in shell, other fresh, not fertilized eggs for incubation, of species Gallus domesticus",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0407.29.00,"Birds' eggs, in shell, other fresh, not fertilized eggs for incubation, other than species Gallus domesticus",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0407.90.00,"Birds' eggs, in shell, fresh, preserved or cooked",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0408.11.00,"Egg yolks, dried, whether or not containing added sweeteners",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0408.19.00,"Egg yolks, other than dried, whether or not containing added sweeteners",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0408.99.00,"Birds' eggs, not in shell, other than dried, whether or not containing added sweeteners",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0409.00.00,Natural honey,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0410.00.00,"Edible products of animal origin, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0505.90.20,Feather meal and waste,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0505.90.60,Skins and parts of birds with their feathers or down (except meal and waste) nesoi,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0506.10.00,Ossein and bones treated with acid,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0506.90.00,"Bones & horn?cores, unworked, defatted, simply prepared (but not cut to shape) or degelatinized; powder & waste of these products",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0507.90.00,"Tortoise shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared; waste and powder",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0508.00.00,"Coral, shells, cuttlebone and similar materials, unworked or simply prepared, but not cut to shape; powder and waste thereof

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0510.00.40,"Cantharides; bile; glands and other animal products nesoi, used in pharmaceutical products",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.10.00,Bovine semen,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.91.00,"Products of fish, crustaceans, molluscs or other aquatic invertebrates nesoi; dead animals of chapter 3, unfit for human consumption

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.99.20,Parings and similar waste of raw hides or skins; glue stock nesoi,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.99.30,"Animal products chiefly used as food for animals or as ingredients in such food, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.99.33,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.99.36,Natural sponges of animal origin,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0511.99.40,"Animal products nesoi; dead animals of chapter 1, unfit for human consumption",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0703.10.20,"Onion sets, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0703.10.30,"Pearl onions not over 16 mm in diameter, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0703.10.40,"Onions, other than onion sets or pearl onions not over 16 mm in diameter, and shallots, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0703.20.00,"Garlic, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
0703.90.00,"Leeks and other alliaceous vegetables nesoi, fresh or chilled",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
