Item,Description,Supplier,Unit Cost,Annual Forecast,Base Raw Material,% Metal Content,"Type (Raw, Derivative, Industrial)",Foreign or US Material,Country of Origin,HTS CODE
5005101,8x8 Framed Photo Tile WH,Adventa,$0.95,"11,232",Plastic,0,,,UK,3924.90.20
5005102,8x8 Framed Photo Tile BK,Adventa,$0.95,"52,410",Plastic,0,,,UK,3924.90.20
5005103,8x10 Framed Photo Tile WH,Adventa,$1.40,"5,870",Plastic,0,,,UK,3924.90.20
5005104,8x10 Framed Photo Tile BK,Adventa,$1.40,"19,787",Plastic,0,,,UK,3924.90.20
5005089,5x7 Framed Photo Tile WH,Adventa,$0.88,"3,345",Plastic,0,,,UK,3924.90.20
5005100,5x7 Framed Photo Tile BK,Adventa,$0.88,"13,376",Plastic,0,,,UK,3924.90.20
5005109,16x16 Framed Photo Tile WH,Adventa,$3.20,"1,534",Plastic,0,,,UK,3924.90.20
5005110,16x16 Framed Photo Tile BK,Adventa,$3.20,"5,119",Plastic,0,,,UK,3924.90.20
5005107,12x12 Framed Photo Tile WH,Adventa,$2.46,"1,801",Plastic,0,,,UK,3924.90.20
5005108,12x12 Framed Photo Tile BK,Adventa,$2.46,"5,019",Plastic,0,,,UK,3924.90.20
5005105,11x14 Framed Photo Tile WH,Adventa,$2.42,"1,596",Plastic,0,,,UK,3924.90.20
5005106,11x14 Framed Photo Tile BK,Adventa,$2.42,"7,732",Plastic,0,,,UK,3924.90.20
150-1200-00,8x8 Framed Photo Tile Black SYFC88-BK,Adventa,#REF!,"1,594",Plastic,0,,,UK,3924.90.20
150-1201-00,8x8 Framed Photo Tile White SYFC88-WE,Adventa,#REF!,"10,918",Plastic,0,,,UK,3924.90.20
150-1203-00,8x10 Framed Photo Tile Black SYFC81-BK,Adventa,#REF!,766,Plastic,0,,,UK,3924.90.20
150-1204-00,8x10 Framed Photo Tile White SYFC81-WE,Adventa,#REF!,"5,880",Plastic,0,,,UK,3924.90.20
150-1206-00,5x7 Framed Photo Tile Black SYFC57-BK,Adventa,#REF!,191,Plastic,0,,,UK,3924.90.20
150-1207-00,5x7 Framed Photo Tile White SYFC57-WE,Adventa,#REF!,"2,967",Plastic,0,,,UK,3924.90.20
150-1209-00,11x14 Framed Photo Tile Black,Adventa,#REF!,149,Plastic,0,,,UK,3924.90.20
150-1210-00,11x14 Framed Photo Tile White,Adventa,#REF!,"1,595",Plastic,0,,,UK,3924.90.20
5003724,SPF SEERSUCKER JFL-4739,Greentex,$3.28,#N/A,Polyester,0,,,China,5208.22.40
5003725,SPF COTTON SILK CYA08-YF213936,Greentex,$13.96,#N/A,Polyester,0,,,China,5212.12.60
5004584,White Indoor Pillow Fabric 330GSM 59in,Greentex,$3.82,"18,198",Polyester,0,,,China,5407.52.20
5004585,Ivory Indoor Pillow Fabric 330GSM 59in,Greentex,$3.82,"8,540",Polyester,0,,,China,5407.52.20
5004586,Black Indoor Pillow Fabric 330GSM 59in,Greentex,$3.82,"4,424",Polyester,0,,,China,5407.52.20
5003990,SPF 19x19 INSERT 100 RECYC PET POLY,Greentex,$4.17,#N/A,Polyester,0,,,Colombia,9404.90.20
5003993,SPF 15x37 INSERT 100 RECYC PET POLY,Greentex,$7.41,#N/A,Polyester,0,,,Colombia,9404.90.20
5003991,SPF 21x21 INSERT 100 RECYC PET POLY,Greentex,$5.51,#N/A,Polyester,0,,,Colombia,9404.90.20
5003992,SPF 15x25 INSERT 100 RECYC PET POLY,Greentex,$6.33,#N/A,Polyester,0,,,Colombia,9404.90.20
5004154,SPF 15x37 INSERT 100 RECYC PET POLY,Greentex,$7.41,"19,151",Polyester,0,,,Colombia,9404.90.20
5004155,Pillow Insert 17x17 Vacuum Packed Flat,Greentex,$2.90,"19,564",Polyester,0,,,Colombia,9404.90.20
5004156,Pillow Insert 19x19 Vacuum Packed Flat,Greentex,$3.25,"12,645",Polyester,0,,,Colombia,9404.90.20
5004157,Pillow Insert 21x21 Vacuum Packed Flat,Greentex,$4.30,"17,669",Silicone,0,,,Colombia,9404.90.20
5004071,30x40 Fleece Blanket,Greentex,$1.91,"15,755",Polyester,0,,,China,6301.40.00
5004072,50X60 Fleece Blanket,Greentex,$3.36,"18,887",Polyester,0,,,China,6301.40.00
5004073,60X80 Fleece Blanket,Greentex,$5.24,"13,699",Polyester,0,,,China,6301.40.00
5004074,30x40 Plush Blanket,Greentex,$2.35,"18,503",Polyester,0,,,China,6301.40.00
5004075,50X60 Plush Blanket,Greentex,$3.50,"47,150",Polyester,0,,,China,6301.40.00
5004076,60X80 Plush Blanket,Greentex,$5.18,"102,351",Polyester,0,,,China,6301.40.00
5004077,30x40 Sherpa Blanket,Greentex,$3.99,"6,457",Polyester,0,,,China,6301.40.00
5004078,50X60 Sherpa Blanket,Greentex,$5.44,"18,805",Polyester,0,,,China,6301.40.00
5004079,60X80 Sherpa Blanket,Greentex,$8.08,"54,378",Polyester,0,,,China,6301.40.00
5002814,Bell Ornament-CC20222001,Clingmans Corporation LTD,$2.76,"6,991",glass,0,,,China,9505.10.25
5002894,Metal Floating Frame 5x7 Silver,Shikasa,$3.16,"5,090",steel,100,Raw,Foreign,China,8306.30.00
5002895,Metal Floating Frame 8x10 Silver,Shikasa,$4.15,"2,578",steel,100,Raw,Foreign,China,8306.30.00
5002838,Metal Floating Frame 5x7 Gold,Shikasa,$3.30,"4,571",steel,100,Raw,Foreign,China,8306.30.00
5002839,Metal Floating Frame 8x10 Gold,Shikasa,$4.15,"3,300",steel,100,Raw,Foreign,China,8306.30.00
5000530,5in BLK Oak Block SKA21-006A,Bigger Printing Group LTD,$0.60,"44,558",Oak,0,,,China,4403.91.00
5000531,5in NTRL Oak Block SKA21-006B,Bigger Printing Group LTD,$0.56,"30,085",Oak,0,,,China,4403.91.00
5006689,Round Glass Ornament SF25-23,"IQ Accessories, Inc",$1.73,"80,000",Glass,0,,,China,9505.10.10
5006690,Square Glass Ornament SF25-06,"IQ Accessories, Inc",$1.73,"80,000",Glass,0,,,China,9505.10.10
